------;Straftaten insgesamt;6372526
0;Straftaten gegen das Leben;3242
10000;Mord § 211 StGB;761
10079;Sonstiger Mord;707
11000;Mord im Zusammenhang mit Raubdelikten;45
12000;Mord im Zusammenhang mit Sexualdelikten;9
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1657
20010;Totschlag § 212 StGB;1630
20020;Minder schwerer Totschlag § 213 StGB;3
20030;Tötung auf Verlangen § 216 StGB;24
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;686
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;138
40010;Schwangerschaftsabbruch § 218 StGB;102
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1
40030;Ärztliche Pflichtverletzung § 218c StGB;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;35
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;47401
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;14492
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;7919
111100;Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1132
111200;Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 2 Nr. 2 StGB;225
111300;Vergewaltigung durch Gruppen § 177 Abs. 2 Nr. 2 StGB;524
111400;Sonstige Straftaten § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;6038
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;5919
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;654
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;447
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;41
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;3
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;163
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;22674
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;12019
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;116
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5251
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1731
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;590
